iteration,MSE_trg,MSE_val,MSE_tst,acc_trg,acc_val,acc_tst,f1_trg,f1_val,f1_tst,elapsed
1190,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.708604321
1200,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.713821845
1210,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.718796395
1220,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.723341516
1230,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.731602076
1240,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.736231234
1250,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.741411412
1260,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.747806433
1270,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.753077144
1280,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.757655506
1290,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.762685153
1300,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.767436116
1310,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.771978439
1320,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.777374827
1330,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.783013183
1340,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.78761639
1350,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.792198569
1360,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.797113929
1370,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.802090881
1380,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.820727193
1390,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.825341013
1400,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.830235806
1410,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.834989698
1420,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.844543937
1430,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.849174658
1440,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.854005338
1450,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.858607488
1460,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.864111515
1470,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.869851575
1480,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.878571152
1490,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.883447045
1500,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.888198645
1510,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.898632678
1520,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.903375106
1530,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.909245266
1540,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.914377153
1550,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.918923883
1560,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.925265429
1570,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.92995428
1580,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.934862274
1590,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.939298468
1600,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.944619986
1610,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.950004673
1620,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.956680493
1630,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.96168327
1640,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.966837316
1650,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.97198055
1660,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.97645725
1670,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.981439235
1680,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.98614988
1690,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.991225366
1700,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.002438546
1710,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0076194
1720,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.013126118
1730,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.017384685
1740,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.025397799
1750,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.034316504
1760,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.040348133
1770,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.04564774
1780,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.050345023
1790,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.056457501
1800,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.061326018
1810,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.066445079
